oil_leak_train_10\cur.jpg,oil_leak_train_10\hist.jpg,oil_leak_train_10\cur_gt.png
oil_leak_train_100\cur.jpg,oil_leak_train_100\hist.jpg,oil_leak_train_100\cur_gt.png
oil_leak_train_1000\cur.jpg,oil_leak_train_1000\hist.jpg,oil_leak_train_1000\cur_gt.png
oil_leak_train_1001\cur.jpg,oil_leak_train_1001\hist.jpg,oil_leak_train_1001\cur_gt.png
oil_leak_train_1002\cur.jpg,oil_leak_train_1002\hist.jpg,oil_leak_train_1002\cur_gt.png
oil_leak_train_1003\cur.jpg,oil_leak_train_1003\hist.jpg,oil_leak_train_1003\cur_gt.png
oil_leak_train_1004\cur.jpg,oil_leak_train_1004\hist.jpg,oil_leak_train_1004\cur_gt.png
oil_leak_train_1006\cur.jpg,oil_leak_train_1006\hist.jpg,oil_leak_train_1006\cur_gt.png
oil_leak_train_1007\cur.jpg,oil_leak_train_1007\hist.jpg,oil_leak_train_1007\cur_gt.png
oil_leak_train_1008\cur.jpg,oil_leak_train_1008\hist.jpg,oil_leak_train_1008\cur_gt.png
oil_leak_train_1009\cur.jpg,oil_leak_train_1009\hist.jpg,oil_leak_train_1009\cur_gt.png
oil_leak_train_101\cur.jpg,oil_leak_train_101\hist.jpg,oil_leak_train_101\cur_gt.png
oil_leak_train_1011\cur.jpg,oil_leak_train_1011\hist.jpg,oil_leak_train_1011\cur_gt.png
oil_leak_train_1012\cur.jpg,oil_leak_train_1012\hist.jpg,oil_leak_train_1012\cur_gt.png
oil_leak_train_1013\cur.jpg,oil_leak_train_1013\hist.jpg,oil_leak_train_1013\cur_gt.png
oil_leak_train_1014\cur.jpg,oil_leak_train_1014\hist.jpg,oil_leak_train_1014\cur_gt.png
oil_leak_train_1018\cur.jpg,oil_leak_train_1018\hist.jpg,oil_leak_train_1018\cur_gt.png
oil_leak_train_1019\cur.jpg,oil_leak_train_1019\hist.jpg,oil_leak_train_1019\cur_gt.png
oil_leak_train_102\cur.jpg,oil_leak_train_102\hist.jpg,oil_leak_train_102\cur_gt.png
oil_leak_train_1021\cur.jpg,oil_leak_train_1021\hist.jpg,oil_leak_train_1021\cur_gt.png
oil_leak_train_1022\cur.jpg,oil_leak_train_1022\hist.jpg,oil_leak_train_1022\cur_gt.png
oil_leak_train_1023\cur.jpg,oil_leak_train_1023\hist.jpg,oil_leak_train_1023\cur_gt.png
oil_leak_train_1024\cur.jpg,oil_leak_train_1024\hist.jpg,oil_leak_train_1024\cur_gt.png
oil_leak_train_1026\cur.jpg,oil_leak_train_1026\hist.jpg,oil_leak_train_1026\cur_gt.png
oil_leak_train_1027\cur.jpg,oil_leak_train_1027\hist.jpg,oil_leak_train_1027\cur_gt.png
oil_leak_train_1029\cur.jpg,oil_leak_train_1029\hist.jpg,oil_leak_train_1029\cur_gt.png
oil_leak_train_103\cur.jpg,oil_leak_train_103\hist.jpg,oil_leak_train_103\cur_gt.png
oil_leak_train_1030\cur.jpg,oil_leak_train_1030\hist.jpg,oil_leak_train_1030\cur_gt.png
oil_leak_train_1032\cur.jpg,oil_leak_train_1032\hist.jpg,oil_leak_train_1032\cur_gt.png
oil_leak_train_1033\cur.jpg,oil_leak_train_1033\hist.jpg,oil_leak_train_1033\cur_gt.png
oil_leak_train_1034\cur.jpg,oil_leak_train_1034\hist.jpg,oil_leak_train_1034\cur_gt.png
oil_leak_train_1036\cur.jpg,oil_leak_train_1036\hist.jpg,oil_leak_train_1036\cur_gt.png
oil_leak_train_1038\cur.jpg,oil_leak_train_1038\hist.jpg,oil_leak_train_1038\cur_gt.png
oil_leak_train_1039\cur.jpg,oil_leak_train_1039\hist.jpg,oil_leak_train_1039\cur_gt.png
oil_leak_train_104\cur.jpg,oil_leak_train_104\hist.jpg,oil_leak_train_104\cur_gt.png
oil_leak_train_1041\cur.jpg,oil_leak_train_1041\hist.jpg,oil_leak_train_1041\cur_gt.png
oil_leak_train_1042\cur.jpg,oil_leak_train_1042\hist.jpg,oil_leak_train_1042\cur_gt.png
oil_leak_train_1043\cur.jpg,oil_leak_train_1043\hist.jpg,oil_leak_train_1043\cur_gt.png
oil_leak_train_1044\cur.jpg,oil_leak_train_1044\hist.jpg,oil_leak_train_1044\cur_gt.png
oil_leak_train_1045\cur.jpg,oil_leak_train_1045\hist.jpg,oil_leak_train_1045\cur_gt.png
oil_leak_train_1046\cur.jpg,oil_leak_train_1046\hist.jpg,oil_leak_train_1046\cur_gt.png
oil_leak_train_1047\cur.jpg,oil_leak_train_1047\hist.jpg,oil_leak_train_1047\cur_gt.png
oil_leak_train_1048\cur.jpg,oil_leak_train_1048\hist.jpg,oil_leak_train_1048\cur_gt.png
oil_leak_train_1049\cur.jpg,oil_leak_train_1049\hist.jpg,oil_leak_train_1049\cur_gt.png
oil_leak_train_105\cur.jpg,oil_leak_train_105\hist.jpg,oil_leak_train_105\cur_gt.png
oil_leak_train_1050\cur.jpg,oil_leak_train_1050\hist.jpg,oil_leak_train_1050\cur_gt.png
oil_leak_train_1051\cur.jpg,oil_leak_train_1051\hist.jpg,oil_leak_train_1051\cur_gt.png
oil_leak_train_1052\cur.jpg,oil_leak_train_1052\hist.jpg,oil_leak_train_1052\cur_gt.png
oil_leak_train_1053\cur.jpg,oil_leak_train_1053\hist.jpg,oil_leak_train_1053\cur_gt.png
oil_leak_train_1054\cur.jpg,oil_leak_train_1054\hist.jpg,oil_leak_train_1054\cur_gt.png
oil_leak_train_1055\cur.jpg,oil_leak_train_1055\hist.jpg,oil_leak_train_1055\cur_gt.png
oil_leak_train_1056\cur.jpg,oil_leak_train_1056\hist.jpg,oil_leak_train_1056\cur_gt.png
oil_leak_train_1057\cur.jpg,oil_leak_train_1057\hist.jpg,oil_leak_train_1057\cur_gt.png
oil_leak_train_1058\cur.jpg,oil_leak_train_1058\hist.jpg,oil_leak_train_1058\cur_gt.png
oil_leak_train_1059\cur.jpg,oil_leak_train_1059\hist.jpg,oil_leak_train_1059\cur_gt.png
oil_leak_train_106\cur.jpg,oil_leak_train_106\hist.jpg,oil_leak_train_106\cur_gt.png
oil_leak_train_1060\cur.jpg,oil_leak_train_1060\hist.jpg,oil_leak_train_1060\cur_gt.png
oil_leak_train_1062\cur.jpg,oil_leak_train_1062\hist.jpg,oil_leak_train_1062\cur_gt.png
oil_leak_train_1063\cur.jpg,oil_leak_train_1063\hist.jpg,oil_leak_train_1063\cur_gt.png
oil_leak_train_1064\cur.jpg,oil_leak_train_1064\hist.jpg,oil_leak_train_1064\cur_gt.png
oil_leak_train_1066\cur.jpg,oil_leak_train_1066\hist.jpg,oil_leak_train_1066\cur_gt.png
oil_leak_train_1067\cur.jpg,oil_leak_train_1067\hist.jpg,oil_leak_train_1067\cur_gt.png
oil_leak_train_1068\cur.jpg,oil_leak_train_1068\hist.jpg,oil_leak_train_1068\cur_gt.png
oil_leak_train_1069\cur.jpg,oil_leak_train_1069\hist.jpg,oil_leak_train_1069\cur_gt.png
oil_leak_train_1070\cur.jpg,oil_leak_train_1070\hist.jpg,oil_leak_train_1070\cur_gt.png
oil_leak_train_1072\cur.jpg,oil_leak_train_1072\hist.jpg,oil_leak_train_1072\cur_gt.png
oil_leak_train_1073\cur.jpg,oil_leak_train_1073\hist.jpg,oil_leak_train_1073\cur_gt.png
oil_leak_train_1076\cur.jpg,oil_leak_train_1076\hist.jpg,oil_leak_train_1076\cur_gt.png
oil_leak_train_1078\cur.jpg,oil_leak_train_1078\hist.jpg,oil_leak_train_1078\cur_gt.png
oil_leak_train_1079\cur.jpg,oil_leak_train_1079\hist.jpg,oil_leak_train_1079\cur_gt.png
oil_leak_train_108\cur.jpg,oil_leak_train_108\hist.jpg,oil_leak_train_108\cur_gt.png
oil_leak_train_1080\cur.jpg,oil_leak_train_1080\hist.jpg,oil_leak_train_1080\cur_gt.png
oil_leak_train_1081\cur.jpg,oil_leak_train_1081\hist.jpg,oil_leak_train_1081\cur_gt.png
oil_leak_train_1082\cur.jpg,oil_leak_train_1082\hist.jpg,oil_leak_train_1082\cur_gt.png
oil_leak_train_1084\cur.jpg,oil_leak_train_1084\hist.jpg,oil_leak_train_1084\cur_gt.png
oil_leak_train_1085\cur.jpg,oil_leak_train_1085\hist.jpg,oil_leak_train_1085\cur_gt.png
oil_leak_train_1086\cur.jpg,oil_leak_train_1086\hist.jpg,oil_leak_train_1086\cur_gt.png
oil_leak_train_1087\cur.jpg,oil_leak_train_1087\hist.jpg,oil_leak_train_1087\cur_gt.png
oil_leak_train_1088\cur.jpg,oil_leak_train_1088\hist.jpg,oil_leak_train_1088\cur_gt.png
oil_leak_train_1089\cur.jpg,oil_leak_train_1089\hist.jpg,oil_leak_train_1089\cur_gt.png
oil_leak_train_109\cur.jpg,oil_leak_train_109\hist.jpg,oil_leak_train_109\cur_gt.png
oil_leak_train_1090\cur.jpg,oil_leak_train_1090\hist.jpg,oil_leak_train_1090\cur_gt.png
oil_leak_train_1091\cur.jpg,oil_leak_train_1091\hist.jpg,oil_leak_train_1091\cur_gt.png
oil_leak_train_1092\cur.jpg,oil_leak_train_1092\hist.jpg,oil_leak_train_1092\cur_gt.png
oil_leak_train_1094\cur.jpg,oil_leak_train_1094\hist.jpg,oil_leak_train_1094\cur_gt.png
oil_leak_train_1095\cur.jpg,oil_leak_train_1095\hist.jpg,oil_leak_train_1095\cur_gt.png
oil_leak_train_1096\cur.jpg,oil_leak_train_1096\hist.jpg,oil_leak_train_1096\cur_gt.png
oil_leak_train_1097\cur.jpg,oil_leak_train_1097\hist.jpg,oil_leak_train_1097\cur_gt.png
oil_leak_train_1098\cur.jpg,oil_leak_train_1098\hist.jpg,oil_leak_train_1098\cur_gt.png
oil_leak_train_1099\cur.jpg,oil_leak_train_1099\hist.jpg,oil_leak_train_1099\cur_gt.png
oil_leak_train_11\cur.jpg,oil_leak_train_11\hist.jpg,oil_leak_train_11\cur_gt.png
oil_leak_train_110\cur.jpg,oil_leak_train_110\hist.jpg,oil_leak_train_110\cur_gt.png
oil_leak_train_1100\cur.jpg,oil_leak_train_1100\hist.jpg,oil_leak_train_1100\cur_gt.png
oil_leak_train_1101\cur.jpg,oil_leak_train_1101\hist.jpg,oil_leak_train_1101\cur_gt.png
oil_leak_train_1105\cur.jpg,oil_leak_train_1105\hist.jpg,oil_leak_train_1105\cur_gt.png
oil_leak_train_1106\cur.jpg,oil_leak_train_1106\hist.jpg,oil_leak_train_1106\cur_gt.png
oil_leak_train_1107\cur.jpg,oil_leak_train_1107\hist.jpg,oil_leak_train_1107\cur_gt.png
oil_leak_train_1109\cur.jpg,oil_leak_train_1109\hist.jpg,oil_leak_train_1109\cur_gt.png
oil_leak_train_111\cur.jpg,oil_leak_train_111\hist.jpg,oil_leak_train_111\cur_gt.png
oil_leak_train_1110\cur.jpg,oil_leak_train_1110\hist.jpg,oil_leak_train_1110\cur_gt.png
